AEECLSID_JPEG_YCRCB420LP_THUMB,0x01061b0d,system,concurrency
AEECLSID_OATDEBUGKEYAPP,0x0107c015,system,brewcore
AEECLSID_DialogForm,0x01028e40,ui,widgets
AEECLSID_CertParse,0x01038846,system,componentservices
AEECLSID_FOCUSCONTROLLER,0x0103e3b4,languages,trigplayer
AEECLSID_MEDIAMIDIOUTMSG,0x01005505,system,brewcore
AEECLSID_OEMSecureSysClock,0x0103d9dc,system,componentservices
AEECLSID_FLIP,0x0102f91c,hardware,formfactor
AEEIID_IDebugFactory,0x010449de,system,componentservices
AEECLSID_List,0x0105e099,databases,vcard
AEECLSID_GWRegistry,0x0104610b,system,componentservices
AEEIID_IUWindowSys,0x0103ee30,ui,wm
AEECLSID_HEAP1FACTORY,0x01028acc,system,brewcore
AEECLSID_SOURCE,0x01001012,system,brewcore
AEEIID_TRIGMLELEMENT,0x01040cc5,languages,trigplayer
AEECLSID_SmartDIB_16_565Alt,0x0104e0a8,ui,display
AEEIID_IASEngine,0x01078f18,languages,flash
AEECLSID_OATQOSAWAREUNAWAREAPP,0x01075684,system,brewcore
AEECLSID_OATAPPWLANMACADDR,0x01080228,connectivity,wlan
AEECLSID_PropContainer,0x0105522d,ui,widgets
AEEIID_CTF,0x010302f8,system,componentservices
AEECLSID_FONT_STANDARD15B,0x01030853,ui,fonts
AEECLSID_CURSORWIDGET_1,0x01028e10,ui,widgets
AEECLSID_ModInfoDyn,0x01041789,system,componentservices
AEECLSID_CTPROCESS,0x0102efa5,system,componentservices
AEEIID_IBTA2DP,0x01061c2b,connectivity,bluetooth
AEEIID_TRIGSTRINGTABLE,0x01042ca8,languages,trigplayer
AEEIID_IOBEXSrv,0x01053c88,connectivity,bluetooth
AEECLSID_DISPLAYPREFSACTOR,0x0102faa5,apps,softkeyappsuite
AEECLSID_HomeCanvas,0x0106c5b0,apps,mam
AEEIID_IFSConstFileMap,0x01093907,system,componentservices
AEECLSID_BCIBREW,0x01030767,media,imagedecoders
AEECLSID_CTFADNVERIFYRECS,0x0108df6a,databases,icontacts
AEECLSID_OATMediaMPEG4App,0x0108aab6,media,multimedia
AEECLSID_ASD20,0x0103ffd2,system,brewcore
AEECLSID_GWTESTAPP_APPS,0x0106c4ec,system,componentservices
AEECLSID_PrivSetTestSvcClass_U,0x0107268a,system,componentservices
AEECLSID_Fota2,0x0103f8cf,system,brewcore
AEECLSID_LocaleENUS,0x0102c153,system,locales
AEECLSID_McastSession2,0x0106d751,system,brewcore
AEECLSID_OATCONTENTPREVIEW,0x01071583,media,contentdrm
AEECLSID_Web,0x01005000,networking,web
AEECLSID_OATAPPHISTNOPLUSER,0x0103f202,system,brewcore
AEECLSID_LISTCTL,0x01003102,system,brewcore
AEEIID_ICodeSigPolicy,0x0103fa9e,system,componentservices
AEEIID_ICDB,0x0104448e,tools,device
AEECLSID_InfoDialog,0x01028e42,ui,widgets
AEECLSID_Registry2_Service,0x0103fed1,system,brewcore
AEECLSID_PEEK,0x0100101c,system,brewcore
AEECLSID_OATQOSAWAREDEV,0x01037af3,system,brewcore
AEECLSID_MULTIMEDIA_LAST,0x01005514,system,brewcore
